"BehaviorSpace results (NetLogo 6.2.0)"
"code (4).nlogo"
"WaitingTime"
"01/28/2021 15:45:31:492 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","distancing?","spread-decease?","threshold-attendance","numberOfPeople","max-patience","r-distance","[step]","waitingTime"
"4","true","false","6","121","100","1.5","0","0"
"3","true","false","6","121","50","1.5","0","0"
"5","true","false","6","121","100","1.5","0","0"
"6","true","false","6","121","100","1.5","0","0"
"1","true","false","6","121","50","1.5","0","0"
"2","true","false","6","121","50","1.5","0","0"
"4","true","false","6","121","100","1.5","1","0"
"4","true","false","6","121","100","1.5","2","0"
"3","true","false","6","121","50","1.5","1","0"
"5","true","false","6","121","100","1.5","1","0"
"4","true","false","6","121","100","1.5","3","0"
"6","true","false","6","121","100","1.5","1","0"
"1","true","false","6","121","50","1.5","1","0"
"2","true","false","6","121","50","1.5","1","0"
"4","true","false","6","121","100","1.5","4","0"
"3","true","false","6","121","50","1.5","2","0"
"5","true","false","6","121","100","1.5","2","0"
"1","true","false","6","121","50","1.5","2","0"
"4","true","false","6","121","100","1.5","5","0"
"6","true","false","6","121","100","1.5","2","0"
"4","true","false","6","121","100","1.5","6","0"
"5","true","false","6","121","100","1.5","3","0"
"3","true","false","6","121","50","1.5","3","0"
"2","true","false","6","121","50","1.5","2","0"
"5","true","false","6","121","100","1.5","4","0"
"4","true","false","6","121","100","1.5","7","0"
"6","true","false","6","121","100","1.5","3","0"
"1","true","false","6","121","50","1.5","3","0"
"4","true","false","6","121","100","1.5","8","0"
"1","true","false","6","121","50","1.5","4","0"
"3","true","false","6","121","50","1.5","4","0"
"4","true","false","6","121","100","1.5","9","0"
"6","true","false","6","121","100","1.5","4","0"
"4","true","false","6","121","100","1.5","10","0"
"1","true","false","6","121","50","1.5","5","0"
"5","true","false","6","121","100","1.5","5","0"
"2","true","false","6","121","50","1.5","3","0"
"3","true","false","6","121","50","1.5","5","0"
"6","true","false","6","121","100","1.5","5","0"
"4","true","false","6","121","100","1.5","11","0"
"1","true","false","6","121","50","1.5","6","0"
"5","true","false","6","121","100","1.5","6","0"
"3","true","false","6","121","50","1.5","6","0"
"2","true","false","6","121","50","1.5","4","0"
"4","true","false","6","121","100","1.5","12","0"
"6","true","false","6","121","100","1.5","6","0"
"1","true","false","6","121","50","1.5","7","0"
"4","true","false","6","121","100","1.5","13","0"
"2","true","false","6","121","50","1.5","5","0"
"3","true","false","6","121","50","1.5","7","0"
"5","true","false","6","121","100","1.5","7","0"
"6","true","false","6","121","100","1.5","7","0"
"4","true","false","6","121","100","1.5","14","0"
"1","true","false","6","121","50","1.5","8","0"
"3","true","false","6","121","50","1.5","8","0"
"2","true","false","6","121","50","1.5","6","0"
"5","true","false","6","121","100","1.5","8","0"
"4","true","false","6","121","100","1.5","15","0"
"6","true","false","6","121","100","1.5","8","0"
"1","true","false","6","121","50","1.5","9","0"
"3","true","false","6","121","50","1.5","9","0"
"5","true","false","6","121","100","1.5","9","0"
"4","true","false","6","121","100","1.5","16","0"
"2","true","false","6","121","50","1.5","7","0"
"6","true","false","6","121","100","1.5","9","0"
"4","true","false","6","121","100","1.5","17","0"
"3","true","false","6","121","50","1.5","10","0"
"1","true","false","6","121","50","1.5","10","0"
"5","true","false","6","121","100","1.5","10","0"
"2","true","false","6","121","50","1.5","8","0"
"4","true","false","6","121","100","1.5","18","0"
"6","true","false","6","121","100","1.5","10","0"
"1","true","false","6","121","50","1.5","11","0"
"3","true","false","6","121","50","1.5","11","0"
"5","true","false","6","121","100","1.5","11","0"
"4","true","false","6","121","100","1.5","19","0"
"3","true","false","6","121","50","1.5","12","0"
"5","true","false","6","121","100","1.5","12","0"
"1","true","false","6","121","50","1.5","12","0"
"4","true","false","6","121","100","1.5","20","0"
"2","true","false","6","121","50","1.5","9","0"
"6","true","false","6","121","100","1.5","11","0"
"5","true","false","6","121","100","1.5","13","0"
"3","true","false","6","121","50","1.5","13","0"
"4","true","false","6","121","100","1.5","21","0"
"1","true","false","6","121","50","1.5","13","0"
"2","true","false","6","121","50","1.5","10","0"
"4","true","false","6","121","100","1.5","22","0"
"6","true","false","6","121","100","1.5","12","0"
"5","true","false","6","121","100","1.5","14","0"
"3","true","false","6","121","50","1.5","14","0"
"1","true","false","6","121","50","1.5","14","0"
"4","true","false","6","121","100","1.5","23","0"
"2","true","false","6","121","50","1.5","11","0"
"5","true","false","6","121","100","1.5","15","0"
"3","true","false","6","121","50","1.5","15","0"
"6","true","false","6","121","100","1.5","13","0"
"4","true","false","6","121","100","1.5","24","0"
"1","true","false","6","121","50","1.5","15","0"
"5","true","false","6","121","100","1.5","16","0"
