BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,
code (4).nlogo,,,,,,,,,,
masks2,,,,,,,,,,
01/29/2021 13:41:21:650 +0100,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,
-16,16,-16,16,,,,,,,
[run number],distancing?,percent-wearing-masks,threshold-attendance,numberOfPeople,spread-decease?,probability-spreading,max-patience,r-distance,[step],"count people with [status = ""infected""]"
8,TRUE,100,6,121,TRUE,0.5,100,1.5,0,1
7,TRUE,100,6,121,TRUE,0.5,100,1.5,0,1
6,TRUE,50,6,121,TRUE,0.5,100,1.5,0,1
4,TRUE,50,6,121,TRUE,0.5,100,1.5,0,1
5,TRUE,50,6,121,TRUE,0.5,100,1.5,0,1
8,TRUE,100,6,121,TRUE,0.5,100,1.5,1,1
5,TRUE,50,6,121,TRUE,0.5,100,1.5,1,1
7,TRUE,100,6,121,TRUE,0.5,100,1.5,1,1
8,TRUE,100,6,121,TRUE,0.5,100,1.5,2,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,2,1
7,TRUE,100,6,121,TRUE,0.5,100,1.5,2,1
8,TRUE,100,6,121,TRUE,0.5,100,1.5,3,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,1,1
5,TRUE,50,6,121,TRUE,0.5,100,1.5,3,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,3,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,4,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,1,1
7,TRUE,100,6,121,TRUE,0.5,100,1.5,4,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,2,1
5,TRUE,50,6,121,TRUE,0.5,100,1.5,4,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,5,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,5,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,2,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,6,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,5,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,6,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,3,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,7,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,7,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,6,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,8,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,3,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,8,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,7,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,9,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,9,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,8,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,10,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,9,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,10,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,4,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,11,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,4,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,11,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,5,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,10,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,6,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,5,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,11,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,12,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,7,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,6,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,12,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,8,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,7,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,13,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,9,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,8,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,14,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,12,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,10,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,15,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,9,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,13,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,13,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,16,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,10,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,14,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,17,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,11,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,14,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,11,2
